排名,电影名,导演,主演,年份,国家/地区,评分,评价人数,简介,封面链接
1,肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,/... / 美国 / 犯罪 剧情,1994,蒂姆·罗宾斯 Tim Robbins,9.7,3303182,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
2,霸王别姬,陈凯歌 Kaige Chen,/ 张丰毅 Fengyi Zha... / 中国大陆 中国香港 / 剧情 爱情 同性,1993,张国荣 Leslie Cheung,9.6,2437390,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.jpg
3,泰坦尼克号,詹姆斯·卡梅隆 James Cameron,/ 美国 / 剧情 爱情 灾难,1997,莱昂纳多·迪卡普里奥 Leonardo...,9.5,2513420,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
4,阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,/ ... / 美国 / 剧情 爱情,1994,汤姆·汉克斯 Tom Hanks,9.5,2442682,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500944103.jpg
5,千与千寻,宫崎骏 Hayao Miyazaki,/ 入野自由 Miy... / 日本 / 剧情 动画 奇幻,2001,柊瑠美 Rumi Hîragi,9.4,2551856,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
6,星际穿越,克里斯托弗·诺兰 Christopher Nolan,/ 美国 英国 加拿大 / 剧情 科幻 冒险,2014,马修·麦康纳 Matthew Mc...,9.4,2200511,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
7,美丽人生,罗伯托·贝尼尼 Roberto Benigni,/ 意大利 / 剧情 喜剧 爱情 战争,1997,罗伯托·贝尼尼 Roberto Beni...,9.5,1489784,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
8,这个杀手不太冷,吕克·贝松 Luc Besson,/ 娜塔莉·波特曼 ... / 法国 美国 / 剧情 动作 犯罪,1994,让·雷诺 Jean Reno,9.4,2563416,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.jpg
9,盗梦空间,克里斯托弗·诺兰 Christopher Nolan,/ 美国 英国 / 剧情 科幻 悬疑 冒险,2010,莱昂纳多·迪卡普里奥 Le...,9.4,2337740,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
10,楚门的世界,彼得·威尔 Peter Weir,/ 劳拉·琳妮 Lau... / 美国 / 剧情 科幻,1998,金·凯瑞 Jim Carrey,9.4,2033269,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
11,辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,/ 美国 / 剧情 历史 战争,1993,连姆·尼森 Liam Neeson...,9.5,1253198,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
12,忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,/ 美国 英国 / 剧情,2009,理查·基尔 Richard Ger...,9.4,1550519,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
