酒店名,星级,酒店ID,评分,点评数,评语,价格,原价,房型名,房型描述,封面图,地址
昆明长水国际机场丽呈酒店,4,114774590,4.7,"5,119条点评",超棒,¥146,¥209,高级双人房|全景落地窗+高速吹风机+智能客控,高级双人房|全景落地窗+高速吹风机+智能客控 2张1.2米单人床 [免费取消],https://dimg04.c-ctrip.com/images/0200y12000coeq7nc93B1_R_600_600_R5_D.jpg_.webp,滇中新区长水街道大板桥开发区170号
昆明锦江大酒店,4,396416,4.6,"3,605条点评",很好,¥230,¥248,暗香大床房「静谧舒适+宽敞通透+助眠床垫+干湿分离」,暗香大床房「静谧舒适+宽敞通透+助眠床垫+干湿分离」 1张1.81米特大床,https://dimg04.c-ctrip.com/images/1mc2212000escllao2592_R_600_600_R5_D.jpg_.webp,北京路98号
七彩云南BETTERDREAM•GARDEN瓣朵海景酒店(呈贡区昆明高铁南站店),2,112808607,4.6,"2,533条点评",很好,¥142,¥148,花千坊｜归云·优选双床房｜大空间|隔音好|公区洗衣房,花千坊｜归云·优选双床房｜大空间|隔音好|公区洗衣房 2张1.35米双人床 [免费取消],https://dimg04.c-ctrip.com/images/1mc6112000rxev3v789C5_R_600_600_R5_D.jpg_.webp,朝云街239号七彩云南第一城LOMO公寓A座1楼
八骏大酒店(昆明火车站国贸中心店),3,1025494,4.6,"2,983条点评",很好,¥139,¥283,四季欢朋双床房（独立空调）,四季欢朋双床房（独立空调） 2张1.2米单人床 [免费取消; 包早餐],https://dimg04.c-ctrip.com/images/1mc2b12000n6p976e98B1_R_600_600_R5_D.jpg_.webp,民航路424—426号
泊兰庭酒店(昆明长水国际机场店),4,134129881,4.8,573条点评,超棒,¥158,¥245,泊兰·优享大床【零压床垫+亲肤布草+舒睡好眠】,泊兰·优享大床【零压床垫+亲肤布草+舒睡好眠】 1张2米特大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc5b12000s3wy64643B7_R_600_600_R5_D.jpg_.webp,驿桥路滇中商务广场云悦商务中心独立办公楼102号
昆明火车站南希尔顿花园酒店,4,129961565,4.8,"1,991条点评",超棒,¥408,¥489,高级大床房【康乃馨床品+金可儿床垫+挂烫机】,高级大床房【康乃馨床品+金可儿床垫+挂烫机】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc3a12000spmw2flB5E2_R_600_600_R5_D.jpg_.webp,巫家坝新区春城路292号龙湖时代金融中心A座
昆明花宿.美宿(理工大学新迎校区七彩之门店),2,114299962,4.8,"1,175条点评",超棒,¥167,¥169,花宿·浅忆大床房【巨幕投影+电风扇】,花宿·浅忆大床房【巨幕投影+电风扇】 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/1mc1x12000ew9dlfm449B_R_600_600_R5_D.jpg_.webp,鼓楼街道白塔路306号七彩之门1幢2单元25楼2510室前台
昆明南屏步行街老街亚朵酒店,4,125771263,4.8,"5,189条点评",超棒,¥676,,雅致房（深睡枕PRO+裸棉床品+65寸投屏）,雅致房（深睡枕PRO+裸棉床品+65寸投屏） 1张1.8米大床,https://dimg04.c-ctrip.com/images/1mc5m12000i4mzhym364F_R_600_600_R5_D.jpg_.webp,东风西路1号
18度居智慧酒店(昆明万科魅力之城广卫地铁站店),3,84932559,4.8,"2,361条点评",超棒,¥167,¥179,空中暮色大床房「全屋智能•55寸4K•乳胶床垫」,空中暮色大床房「全屋智能•55寸4K•乳胶床垫」 1张1.8米大床 [免费取消],https://dimg04.c-ctrip.com/images/0200d120009dadc50B2FB_R_600_600_R5_D.jpg_.webp,广福路东段8868号双城际商务中心B栋5F
全季酒店(昆明环城北路店),3,50807247,4.8,"1,592条点评",超棒,¥358,,大床房【65寸电视｜M3记忆枕|躺椅沙发】,大床房【65寸电视｜M3记忆枕|躺椅沙发】 1张1.5米双人床 [免费取消],https://dimg04.c-ctrip.com/images/1mc0412000b0dnaw3239D_R_600_600_R5_D.jpg_.webp,环城北路62号
